PriceList,Catalog,GradeGroup,Price
UFCA 1711E V4,30024-01,10,645
UFCA 1711E V4,30024-01,20,685
UFCA 1711E V4,30024-01,30,715
UFCA 1711E V4,30024-01,40,745
UFCA 1711E V4,30024-01,50,795
UFCA 1711E V4,30024-01,60,845
UFCA 1711E V4,30024-01,70,895
UFCA 1711E V4,30024-01,F,1495.0
UFCA 1711E V4,30024-01,I,1645.0
UFCA 1711E V4,30024-01,41,nan
UFCA 1711E V4,30024-01,42,nan
UFCA 1711E V4,30024-02,10,350
UFCA 1711E V4,30024-02,20,370
UFCA 1711E V4,30024-02,30,385
UFCA 1711E V4,30024-02,40,405
UFCA 1711E V4,30024-02,50,425
UFCA 1711E V4,30024-02,60,445
UFCA 1711E V4,30024-02,70,465
UFCA 1711E V4,30024-02,F,775.0
UFCA 1711E V4,30024-02,I,850.0
UFCA 1711E V4,30024-02,41,nan
UFCA 1711E V4,30024-02,42,nan
UFCA 1711E V4,30024-03,10,550
UFCA 1711E V4,30024-03,20,590
UFCA 1711E V4,30024-03,30,620
UFCA 1711E V4,30024-03,40,650
UFCA 1711E V4,30024-03,50,700
UFCA 1711E V4,30024-03,60,750
UFCA 1711E V4,30024-03,70,800
UFCA 1711E V4,30024-03,F,1400.0
UFCA 1711E V4,30024-03,I,1550.0
UFCA 1711E V4,30024-03,41,nan
UFCA 1711E V4,30024-03,42,nan
UFCA 1711E V4,30024-07,10,485
UFCA 1711E V4,30024-07,20,525
UFCA 1711E V4,30024-07,30,555
UFCA 1711E V4,30024-07,40,585
UFCA 1711E V4,30024-07,50,635
UFCA 1711E V4,30024-07,60,685
UFCA 1711E V4,30024-07,70,735
UFCA 1711E V4,30024-07,F,1335.0
UFCA 1711E V4,30024-07,I,1485.0
UFCA 1711E V4,30024-07,41,nan
UFCA 1711E V4,30024-07,42,nan
UFCA 1711E V4,30024-08,10,485
UFCA 1711E V4,30024-08,20,525
UFCA 1711E V4,30024-08,30,555
UFCA 1711E V4,30024-08,40,585
UFCA 1711E V4,30024-08,50,635
UFCA 1711E V4,30024-08,60,685
UFCA 1711E V4,30024-08,70,735
UFCA 1711E V4,30024-08,F,1335.0
UFCA 1711E V4,30024-08,I,1485.0
UFCA 1711E V4,30024-08,41,nan
UFCA 1711E V4,30024-08,42,nan
UFCA 1711E V4,30024-10,10,250
UFCA 1711E V4,30024-10,20,270
UFCA 1711E V4,30024-10,30,285
UFCA 1711E V4,30024-10,40,305
UFCA 1711E V4,30024-10,50,325
UFCA 1711E V4,30024-10,60,345
UFCA 1711E V4,30024-10,70,365
UFCA 1711E V4,30024-10,F,590.0
UFCA 1711E V4,30024-10,I,650.0
UFCA 1711E V4,30024-10,41,nan
UFCA 1711E V4,30024-10,42,nan
UFCA 1711E V4,30024-14,10,375
UFCA 1711E V4,30024-14,20,395
UFCA 1711E V4,30024-14,30,410
UFCA 1711E V4,30024-14,40,425
UFCA 1711E V4,30024-14,50,445
UFCA 1711E V4,30024-14,60,465
UFCA 1711E V4,30024-14,70,485
UFCA 1711E V4,30024-14,F,1055.0
UFCA 1711E V4,30024-14,I,1175.0
UFCA 1711E V4,30024-14,41,nan
UFCA 1711E V4,30024-14,42,nan
UFCA 1711E V4,30024-15,10,500
UFCA 1711E V4,30024-15,20,540
UFCA 1711E V4,30024-15,30,570
UFCA 1711E V4,30024-15,40,600
UFCA 1711E V4,30024-15,50,650
UFCA 1711E V4,30024-15,60,700
UFCA 1711E V4,30024-15,70,750
UFCA 1711E V4,30024-15,F,1350.0
UFCA 1711E V4,30024-15,I,1500.0
UFCA 1711E V4,30024-15,41,nan
UFCA 1711E V4,30024-15,42,nan
UFCA 1711E V4,30024-16,10,500
UFCA 1711E V4,30024-16,20,540
UFCA 1711E V4,30024-16,30,570
UFCA 1711E V4,30024-16,40,600
UFCA 1711E V4,30024-16,50,650
UFCA 1711E V4,30024-16,60,700
UFCA 1711E V4,30024-16,70,750
UFCA 1711E V4,30024-16,F,1350.0
UFCA 1711E V4,30024-16,I,1500.0
UFCA 1711E V4,30024-16,41,nan
UFCA 1711E V4,30024-16,42,nan
UFCA 1711E V4,30024-21,10,800
UFCA 1711E V4,30024-21,20,840
UFCA 1711E V4,30024-21,30,870
UFCA 1711E V4,30024-21,40,900
UFCA 1711E V4,30024-21,50,950
UFCA 1711E V4,30024-21,60,1000
UFCA 1711E V4,30024-21,70,1050
UFCA 1711E V4,30024-21,F,1650.0
UFCA 1711E V4,30024-21,I,1800.0
UFCA 1711E V4,30024-21,41,nan
UFCA 1711E V4,30024-21,42,nan
UFCA 1711E V4,30024-30,10,395
UFCA 1711E V4,30024-30,20,415
UFCA 1711E V4,30024-30,30,430
UFCA 1711E V4,30024-30,40,445
UFCA 1711E V4,30024-30,50,465
UFCA 1711E V4,30024-30,60,485
UFCA 1711E V4,30024-30,70,505
UFCA 1711E V4,30024-30,F,820.0
UFCA 1711E V4,30024-30,I,895.0
UFCA 1711E V4,30024-30,41,nan
UFCA 1711E V4,30024-30,42,nan
UFCA 1711E V4,30024-86,10,695
UFCA 1711E V4,30024-86,20,735
UFCA 1711E V4,30024-86,30,765
UFCA 1711E V4,30024-86,40,795
UFCA 1711E V4,30024-86,50,845
UFCA 1711E V4,30024-86,60,895
UFCA 1711E V4,30024-86,70,945
UFCA 1711E V4,30024-86,F,1545.0
UFCA 1711E V4,30024-86,I,1695.0
UFCA 1711E V4,30024-86,41,nan
UFCA 1711E V4,30024-86,42,nan
UFCA 1711E V4,30024-87,10,695
UFCA 1711E V4,30024-87,20,735
UFCA 1711E V4,30024-87,30,765
UFCA 1711E V4,30024-87,40,795
UFCA 1711E V4,30024-87,50,845
UFCA 1711E V4,30024-87,60,895
UFCA 1711E V4,30024-87,70,945
UFCA 1711E V4,30024-87,F,1545.0
UFCA 1711E V4,30024-87,I,1695.0
UFCA 1711E V4,30024-87,41,nan
UFCA 1711E V4,30024-87,42,nan
UFCA 1711E V4,30024-91,10,625
UFCA 1711E V4,30024-91,20,665
UFCA 1711E V4,30024-91,30,695
UFCA 1711E V4,30024-91,40,725
UFCA 1711E V4,30024-91,50,775
UFCA 1711E V4,30024-91,60,825
UFCA 1711E V4,30024-91,70,875
UFCA 1711E V4,30024-91,F,1475.0
UFCA 1711E V4,30024-91,I,1625.0
UFCA 1711E V4,30024-91,41,nan
UFCA 1711E V4,30024-91,42,nan
UFCA 1711E V4,30024-93,10,375
UFCA 1711E V4,30024-93,20,395
UFCA 1711E V4,30024-93,30,410
UFCA 1711E V4,30024-93,40,430
UFCA 1711E V4,30024-93,50,450
UFCA 1711E V4,30024-93,60,470
UFCA 1711E V4,30024-93,70,490
UFCA 1711E V4,30024-93,F,650.0
UFCA 1711E V4,30024-93,I,710.0
UFCA 1711E V4,30024-93,41,430.0
UFCA 1711E V4,30024-93,42,450.0
UFCA 1711E V4,30024-94,10,400
UFCA 1711E V4,30024-94,20,420
UFCA 1711E V4,30024-94,30,435
UFCA 1711E V4,30024-94,40,455
UFCA 1711E V4,30024-94,50,475
UFCA 1711E V4,30024-94,60,495
UFCA 1711E V4,30024-94,70,515
UFCA 1711E V4,30024-94,F,675.0
UFCA 1711E V4,30024-94,I,735.0
UFCA 1711E V4,30024-94,41,455.0
UFCA 1711E V4,30024-94,42,475.0
UFCA 1711E V4,30095-01,10,900
UFCA 1711E V4,30095-01,20,940
UFCA 1711E V4,30095-01,30,970
UFCA 1711E V4,30095-01,40,1000
UFCA 1711E V4,30095-01,50,1050
UFCA 1711E V4,30095-01,60,1100
UFCA 1711E V4,30095-01,70,1150
UFCA 1711E V4,30095-01,F,1750.0
UFCA 1711E V4,30095-01,I,1900.0
UFCA 1711E V4,30095-01,41,nan
UFCA 1711E V4,30095-01,42,nan
UFCA 1711E V4,30095-02,10,400
UFCA 1711E V4,30095-02,20,420
UFCA 1711E V4,30095-02,30,435
UFCA 1711E V4,30095-02,40,455
UFCA 1711E V4,30095-02,50,475
UFCA 1711E V4,30095-02,60,495
UFCA 1711E V4,30095-02,70,515
UFCA 1711E V4,30095-02,F,825.0
UFCA 1711E V4,30095-02,I,900.0
UFCA 1711E V4,30095-02,41,nan
UFCA 1711E V4,30095-02,42,nan
UFCA 1711E V4,30095-03,10,850
UFCA 1711E V4,30095-03,20,890
UFCA 1711E V4,30095-03,30,920
UFCA 1711E V4,30095-03,40,950
UFCA 1711E V4,30095-03,50,1000
UFCA 1711E V4,30095-03,60,1050
UFCA 1711E V4,30095-03,70,1100
UFCA 1711E V4,30095-03,F,1700.0
UFCA 1711E V4,30095-03,I,1850.0
UFCA 1711E V4,30095-03,41,nan
UFCA 1711E V4,30095-03,42,nan
UFCA 1711E V4,30095-04,10,325
UFCA 1711E V4,30095-04,20,345
UFCA 1711E V4,30095-04,30,360
UFCA 1711E V4,30095-04,40,380
UFCA 1711E V4,30095-04,50,400
UFCA 1711E V4,30095-04,60,420
UFCA 1711E V4,30095-04,70,440
UFCA 1711E V4,30095-04,F,665.0
UFCA 1711E V4,30095-04,I,725.0
UFCA 1711E V4,30095-04,41,nan
UFCA 1711E V4,30095-04,42,nan
UFCA 1711E V4,30095-07,10,800
UFCA 1711E V4,30095-07,20,840
UFCA 1711E V4,30095-07,30,870
UFCA 1711E V4,30095-07,40,900
UFCA 1711E V4,30095-07,50,950
UFCA 1711E V4,30095-07,60,1000
UFCA 1711E V4,30095-07,70,1050
UFCA 1711E V4,30095-07,F,1650.0
UFCA 1711E V4,30095-07,I,1800.0
UFCA 1711E V4,30095-07,41,nan
UFCA 1711E V4,30095-07,42,nan
UFCA 1711E V4,30095-08,10,800
UFCA 1711E V4,30095-08,20,840
UFCA 1711E V4,30095-08,30,870
UFCA 1711E V4,30095-08,40,900
UFCA 1711E V4,30095-08,50,950
UFCA 1711E V4,30095-08,60,1000
UFCA 1711E V4,30095-08,70,1050
UFCA 1711E V4,30095-08,F,1650.0
UFCA 1711E V4,30095-08,I,1800.0
UFCA 1711E V4,30095-08,41,nan
UFCA 1711E V4,30095-08,42,nan
UFCA 1711E V4,30095-15,10,800
UFCA 1711E V4,30095-15,20,840
UFCA 1711E V4,30095-15,30,870
UFCA 1711E V4,30095-15,40,900
UFCA 1711E V4,30095-15,50,950
UFCA 1711E V4,30095-15,60,1000
UFCA 1711E V4,30095-15,70,1050
UFCA 1711E V4,30095-15,F,1650.0
UFCA 1711E V4,30095-15,I,1800.0
UFCA 1711E V4,30095-15,41,nan
UFCA 1711E V4,30095-15,42,nan
UFCA 1711E V4,30095-16,10,800
UFCA 1711E V4,30095-16,20,840
UFCA 1711E V4,30095-16,30,870
UFCA 1711E V4,30095-16,40,900
UFCA 1711E V4,30095-16,50,950
UFCA 1711E V4,30095-16,60,1000
UFCA 1711E V4,30095-16,70,1050
UFCA 1711E V4,30095-16,F,1650.0
UFCA 1711E V4,30095-16,I,1800.0
UFCA 1711E V4,30095-16,41,nan
UFCA 1711E V4,30095-16,42,nan
UFCA 1711E V4,30095-17,10,825
UFCA 1711E V4,30095-17,20,865
UFCA 1711E V4,30095-17,30,895
UFCA 1711E V4,30095-17,40,925
UFCA 1711E V4,30095-17,50,975
UFCA 1711E V4,30095-17,60,1025
UFCA 1711E V4,30095-17,70,1075
UFCA 1711E V4,30095-17,F,1675.0
UFCA 1711E V4,30095-17,I,1825.0
UFCA 1711E V4,30095-17,41,nan
UFCA 1711E V4,30095-17,42,nan
UFCA 1711E V4,30095-18,10,825
UFCA 1711E V4,30095-18,20,865
UFCA 1711E V4,30095-18,30,895
UFCA 1711E V4,30095-18,40,925
UFCA 1711E V4,30095-18,50,975
UFCA 1711E V4,30095-18,60,1025
UFCA 1711E V4,30095-18,70,1075
UFCA 1711E V4,30095-18,F,1675.0
UFCA 1711E V4,30095-18,I,1825.0
UFCA 1711E V4,30095-18,41,nan
UFCA 1711E V4,30095-18,42,nan
UFCA 1711E V4,30095-24,10,350
UFCA 1711E V4,30095-24,20,370
UFCA 1711E V4,30095-24,30,385
UFCA 1711E V4,30095-24,40,405
UFCA 1711E V4,30095-24,50,425
UFCA 1711E V4,30095-24,60,445
UFCA 1711E V4,30095-24,70,465
UFCA 1711E V4,30095-24,F,690.0
UFCA 1711E V4,30095-24,I,750.0
UFCA 1711E V4,30095-24,41,nan
UFCA 1711E V4,30095-24,42,nan
UFCA 1711E V4,30095-86,10,975
UFCA 1711E V4,30095-86,20,1015
UFCA 1711E V4,30095-86,30,1045
UFCA 1711E V4,30095-86,40,1075
UFCA 1711E V4,30095-86,50,1125
UFCA 1711E V4,30095-86,60,1175
UFCA 1711E V4,30095-86,70,1225
UFCA 1711E V4,30095-86,F,1825.0
UFCA 1711E V4,30095-86,I,1975.0
UFCA 1711E V4,30095-86,41,nan
UFCA 1711E V4,30095-86,42,nan
UFCA 1711E V4,30095-87,10,975
UFCA 1711E V4,30095-87,20,1015
UFCA 1711E V4,30095-87,30,1045
UFCA 1711E V4,30095-87,40,1075
UFCA 1711E V4,30095-87,50,1125
UFCA 1711E V4,30095-87,60,1175
UFCA 1711E V4,30095-87,70,1225
UFCA 1711E V4,30095-87,F,1825.0
UFCA 1711E V4,30095-87,I,1975.0
UFCA 1711E V4,30095-87,41,nan
UFCA 1711E V4,30095-87,42,nan
UFCA 1711E V4,30095-91,10,875
UFCA 1711E V4,30095-91,20,915
UFCA 1711E V4,30095-91,30,945
UFCA 1711E V4,30095-91,40,975
UFCA 1711E V4,30095-91,50,1025
UFCA 1711E V4,30095-91,60,1075
UFCA 1711E V4,30095-91,70,1125
UFCA 1711E V4,30095-91,F,1725.0
UFCA 1711E V4,30095-91,I,1875.0
UFCA 1711E V4,30095-91,41,nan
UFCA 1711E V4,30095-91,42,nan
UFCA 1711E V4,30095-96,10,875
UFCA 1711E V4,30095-96,20,915
UFCA 1711E V4,30095-96,30,945
UFCA 1711E V4,30095-96,40,975
UFCA 1711E V4,30095-96,50,1025
UFCA 1711E V4,30095-96,60,1075
UFCA 1711E V4,30095-96,70,1125
UFCA 1711E V4,30095-96,F,1725.0
UFCA 1711E V4,30095-96,I,1875.0
UFCA 1711E V4,30095-96,41,nan
UFCA 1711E V4,30095-96,42,nan
UFCA 1711E V4,30095-97,10,875
UFCA 1711E V4,30095-97,20,915
UFCA 1711E V4,30095-97,30,945
UFCA 1711E V4,30095-97,40,975
UFCA 1711E V4,30095-97,50,1025
UFCA 1711E V4,30095-97,60,1075
UFCA 1711E V4,30095-97,70,1125
UFCA 1711E V4,30095-97,F,1725.0
UFCA 1711E V4,30095-97,I,1875.0
UFCA 1711E V4,30095-97,41,nan
UFCA 1711E V4,30095-97,42,nan
UFCA 1711E V4,30095-S3,10,1000
UFCA 1711E V4,30095-S3,20,1040
UFCA 1711E V4,30095-S3,30,1070
UFCA 1711E V4,30095-S3,40,1100
UFCA 1711E V4,30095-S3,50,1150
UFCA 1711E V4,30095-S3,60,1200
UFCA 1711E V4,30095-S3,70,1250
UFCA 1711E V4,30095-S3,F,1850.0
UFCA 1711E V4,30095-S3,I,2000.0
UFCA 1711E V4,30095-S3,41,nan
UFCA 1711E V4,30095-S3,42,nan
UFCA 1711E V4,30095-01,10,1000
UFCA 1711E V4,30095-01,20,1040
UFCA 1711E V4,30095-01,30,1070
UFCA 1711E V4,30095-01,40,1100
UFCA 1711E V4,30095-01,50,1150
UFCA 1711E V4,30095-01,60,1200
UFCA 1711E V4,30095-01,70,1250
UFCA 1711E V4,30095-01,F,1850.0
UFCA 1711E V4,30095-01,I,2000.0
UFCA 1711E V4,30095-01,41,nan
UFCA 1711E V4,30095-01,42,nan
UFCA 1711E V4,30095-02,10,500
UFCA 1711E V4,30095-02,20,520
UFCA 1711E V4,30095-02,30,535
UFCA 1711E V4,30095-02,40,555
UFCA 1711E V4,30095-02,50,575
UFCA 1711E V4,30095-02,60,595
UFCA 1711E V4,30095-02,70,615
UFCA 1711E V4,30095-02,F,925.0
UFCA 1711E V4,30095-02,I,1000.0
UFCA 1711E V4,30095-02,41,nan
UFCA 1711E V4,30095-02,42,nan
UFCA 1711E V4,30095-03,10,950
UFCA 1711E V4,30095-03,20,990
