PriceList,Catalog,GradeGroup,Price
UFMX 1711E V5,30024-01,10,620
UFMX 1711E V5,30024-01,20,660
UFMX 1711E V5,30024-01,30,690
UFMX 1711E V5,30024-01,40,720
UFMX 1711E V5,30024-01,50,770
UFMX 1711E V5,30024-01,60,820
UFMX 1711E V5,30024-01,70,870
UFMX 1711E V5,30024-01,F,1470.0
UFMX 1711E V5,30024-01,I,1620.0
UFMX 1711E V5,30024-01,41,nan
UFMX 1711E V5,30024-01,42,nan
UFMX 1711E V5,30024-02,10,325
UFMX 1711E V5,30024-02,20,345
UFMX 1711E V5,30024-02,30,360
UFMX 1711E V5,30024-02,40,380
UFMX 1711E V5,30024-02,50,400
UFMX 1711E V5,30024-02,60,420
UFMX 1711E V5,30024-02,70,440
UFMX 1711E V5,30024-02,F,750.0
UFMX 1711E V5,30024-02,I,825.0
UFMX 1711E V5,30024-02,41,nan
UFMX 1711E V5,30024-02,42,nan
UFMX 1711E V5,30024-03,10,525
UFMX 1711E V5,30024-03,20,565
UFMX 1711E V5,30024-03,30,595
UFMX 1711E V5,30024-03,40,625
UFMX 1711E V5,30024-03,50,675
UFMX 1711E V5,30024-03,60,725
UFMX 1711E V5,30024-03,70,775
UFMX 1711E V5,30024-03,F,1375.0
UFMX 1711E V5,30024-03,I,1525.0
UFMX 1711E V5,30024-03,41,nan
UFMX 1711E V5,30024-03,42,nan
UFMX 1711E V5,30024-07,10,460
UFMX 1711E V5,30024-07,20,500
UFMX 1711E V5,30024-07,30,530
UFMX 1711E V5,30024-07,40,560
UFMX 1711E V5,30024-07,50,610
UFMX 1711E V5,30024-07,60,660
UFMX 1711E V5,30024-07,70,710
UFMX 1711E V5,30024-07,F,1310.0
UFMX 1711E V5,30024-07,I,1460.0
UFMX 1711E V5,30024-07,41,nan
UFMX 1711E V5,30024-07,42,nan
UFMX 1711E V5,30024-08,10,460
UFMX 1711E V5,30024-08,20,500
UFMX 1711E V5,30024-08,30,530
UFMX 1711E V5,30024-08,40,560
UFMX 1711E V5,30024-08,50,610
UFMX 1711E V5,30024-08,60,660
UFMX 1711E V5,30024-08,70,710
UFMX 1711E V5,30024-08,F,1310.0
UFMX 1711E V5,30024-08,I,1460.0
UFMX 1711E V5,30024-08,41,nan
UFMX 1711E V5,30024-08,42,nan
UFMX 1711E V5,30024-10,10,225
UFMX 1711E V5,30024-10,20,245
UFMX 1711E V5,30024-10,30,260
UFMX 1711E V5,30024-10,40,280
UFMX 1711E V5,30024-10,50,300
UFMX 1711E V5,30024-10,60,320
UFMX 1711E V5,30024-10,70,340
UFMX 1711E V5,30024-10,F,565.0
UFMX 1711E V5,30024-10,I,625.0
UFMX 1711E V5,30024-10,41,nan
UFMX 1711E V5,30024-10,42,nan
UFMX 1711E V5,30024-14,10,300
UFMX 1711E V5,30024-14,20,320
UFMX 1711E V5,30024-14,30,335
UFMX 1711E V5,30024-14,40,350
UFMX 1711E V5,30024-14,50,370
UFMX 1711E V5,30024-14,60,390
UFMX 1711E V5,30024-14,70,410
UFMX 1711E V5,30024-14,F,980.0
UFMX 1711E V5,30024-14,I,1100.0
UFMX 1711E V5,30024-14,41,nan
UFMX 1711E V5,30024-14,42,nan
UFMX 1711E V5,30024-15,10,475
UFMX 1711E V5,30024-15,20,515
UFMX 1711E V5,30024-15,30,545
UFMX 1711E V5,30024-15,40,575
UFMX 1711E V5,30024-15,50,625
UFMX 1711E V5,30024-15,60,675
UFMX 1711E V5,30024-15,70,725
UFMX 1711E V5,30024-15,F,1325.0
UFMX 1711E V5,30024-15,I,1475.0
UFMX 1711E V5,30024-15,41,nan
