PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,10,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,20,1190,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,30,1220,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,40,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,50,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,60,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,70,1400,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,F,2000,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-01,I,2150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,10,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,20,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,30,1170,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,40,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,50,1250,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,60,1300,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,70,1350,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,F,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-03,I,2100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,10,800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,20,820,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,30,835,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,40,855,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,50,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,60,895,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,70,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,F,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-06,I,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,10,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,20,990,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,30,1020,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,40,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,50,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,60,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,70,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,F,1800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-07,I,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,10,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,20,990,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,30,1020,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,40,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,50,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,60,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,70,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,F,1800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-08,I,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,10,615,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,20,635,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,30,650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,40,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,50,720,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,60,755,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,70,790,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,F,1210,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-09,I,1315,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,10,450,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,20,470,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,30,485,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,40,505,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,50,525,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,60,545,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,70,565,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,F,790,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-10,I,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,10,540,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,20,560,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,30,575,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,40,610,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,50,645,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,60,680,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,70,715,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,F,1135,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-11,I,1240,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30136-12,10,540,,,,,,,,,,,,,,,,,,,,,,,
