PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,10,595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,20,635,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,30,665,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,40,695,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,50,745,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,60,795,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,70,895,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,F,1445,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-01,I,1595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,10,350,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,20,370,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,30,385,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,40,405,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,50,425,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,60,445,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,70,465,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,F,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-02,I,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,10,500,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,20,540,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,30,570,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,40,600,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,50,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,60,700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,70,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,F,1350,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-03,I,1500,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,10,435,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,20,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,30,505,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,40,535,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,50,585,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,60,635,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-07,70,735,,,,,,,,,,,,,,,,,,
