,PriceList,Catalog,GradeGroup,Price
0,UFCA 1711E V4,30024-01,10,595
1,UFCA 1711E V4,30024-01,20,635
2,UFCA 1711E V4,30024-01,30,665
3,UFCA 1711E V4,30024-01,40,695
4,UFCA 1711E V4,30024-01,50,745
5,UFCA 1711E V4,30024-01,60,795
7,UFCA 1711E V4,30024-01,F,1445
8,UFCA 1711E V4,30024-01,I,1595
9,UFCA 1711E V4,30024-02,10,350
10,UFCA 1711E V4,30024-02,20,370
11,UFCA 1711E V4,30024-02,30,385
12,UFCA 1711E V4,30024-02,40,405
13,UFCA 1711E V4,30024-02,50,425
14,UFCA 1711E V4,30024-02,60,445
16,UFCA 1711E V4,30024-02,F,775
17,UFCA 1711E V4,30024-02,I,850
18,UFCA 1711E V4,30024-03,10,500
19,UFCA 1711E V4,30024-03,20,540
20,UFCA 1711E V4,30024-03,30,570
21,UFCA 1711E V4,30024-03,40,600
22,UFCA 1711E V4,30024-03,50,650
23,UFCA 1711E V4,30024-03,60,700
25,UFCA 1711E V4,30024-03,F,1350
26,UFCA 1711E V4,30024-03,I,1500
27,UFCA 1711E V4,30024-07,10,435
28,UFCA 1711E V4,30024-07,20,475
29,UFCA 1711E V4,30024-07,30,505
30,UFCA 1711E V4,30024-07,40,535
31,UFCA 1711E V4,30024-07,50,585
32,UFCA 1711E V4,30024-07,60,635
34,UFCA 1711E V4,30024-07,F,1285
35,UFCA 1711E V4,30024-07,I,1435
36,UFCA 1711E V4,30024-08,10,435
37,UFCA 1711E V4,30024-08,20,475
38,UFCA 1711E V4,30024-08,30,505
39,UFCA 1711E V4,30024-08,40,535
40,UFCA 1711E V4,30024-08,50,585
41,UFCA 1711E V4,30024-08,60,635
43,UFCA 1711E V4,30024-08,F,1285
44,UFCA 1711E V4,30024-08,I,1435
45,UFCA 1711E V4,30024-10,10,250
46,UFCA 1711E V4,30024-10,20,270
47,UFCA 1711E V4,30024-10,30,285
48,UFCA 1711E V4,30024-10,40,305
49,UFCA 1711E V4,30024-10,50,325
50,UFCA 1711E V4,30024-10,60,345
52,UFCA 1711E V4,30024-10,F,590
53,UFCA 1711E V4,30024-10,I,650
54,UFCA 1711E V4,30024-14,10,325
55,UFCA 1711E V4,30024-14,20,345
56,UFCA 1711E V4,30024-14,30,360
57,UFCA 1711E V4,30024-14,40,375
58,UFCA 1711E V4,30024-14,50,395
59,UFCA 1711E V4,30024-14,60,415
61,UFCA 1711E V4,30024-14,F,1005
62,UFCA 1711E V4,30024-14,I,1125
63,UFCA 1711E V4,30024-15,10,450
64,UFCA 1711E V4,30024-15,20,490
65,UFCA 1711E V4,30024-15,30,520
66,UFCA 1711E V4,30024-15,40,550
67,UFCA 1711E V4,30024-15,50,600
68,UFCA 1711E V4,30024-15,60,650
70,UFCA 1711E V4,30024-15,F,1300
71,UFCA 1711E V4,30024-15,I,1450
72,UFCA 1711E V4,30024-16,10,450
73,UFCA 1711E V4,30024-16,20,490
74,UFCA 1711E V4,30024-16,30,520
75,UFCA 1711E V4,30024-16,40,550
76,UFCA 1711E V4,30024-16,50,600
77,UFCA 1711E V4,30024-16,60,650
79,UFCA 1711E V4,30024-16,F,1300
80,UFCA 1711E V4,30024-16,I,1450
81,UFCA 1711E V4,30024-21,10,750
82,UFCA 1711E V4,30024-21,20,790
83,UFCA 1711E V4,30024-21,30,820
84,UFCA 1711E V4,30024-21,40,850
85,UFCA 1711E V4,30024-21,50,900
86,UFCA 1711E V4,30024-21,60,950
88,UFCA 1711E V4,30024-21,F,1600
89,UFCA 1711E V4,30024-21,I,1750
90,UFCA 1711E V4,30024-30,10,395
91,UFCA 1711E V4,30024-30,20,415
92,UFCA 1711E V4,30024-30,30,430
93,UFCA 1711E V4,30024-30,40,445
94,UFCA 1711E V4,30024-30,50,465
95,UFCA 1711E V4,30024-30,60,485
97,UFCA 1711E V4,30024-30,F,820
98,UFCA 1711E V4,30024-30,I,895
99,UFCA 1711E V4,30024-86,10,645
100,UFCA 1711E V4,30024-86,20,685
101,UFCA 1711E V4,30024-86,30,715
102,UFCA 1711E V4,30024-86,40,745
